id,title,authors,categories,averagerating,maturityrating,publisheddate,pagecount
TrHO0onCR-EC,The End of Harry Potter?,['David Langford'],['Literary Criticism'],3.5,NOT_MATURE,2007-03-20,208
L18VBQAAQBAJ,The Psychology of Harry Potter,['Neil Mulholland'],['Literary Criticism'],3.5,NOT_MATURE,2007-04-10,326
jX45bvvHXLAC,Harry S. Truman,['Robert Dallek'],['Biography & Autobiography'],4.0,NOT_MATURE,2008-09-02,208
wVoHAQAAQBAJ,Wild About Harry,['Linda Lael Miller'],['Fiction'],2.5,NOT_MATURE,2014-01-28,512
X-Pojd3SHYkC,Harry Houdini for Kids,['Laurie Carlson'],['Juvenile Nonfiction'],3.0,NOT_MATURE,2009-02-01,144
3PGBUrScs-YC,Harry Potter and the Bible,['Richard Abanes'],['Religion'],4.0,NOT_MATURE,2001,275
Wy-Kxu3A7x8C,Teaching with Harry Potter,['Valerie Estelle Frankel'],['Literary Criticism'],4.0,NOT_MATURE,2013-02-21,288
949zPwAACAAJ,The Harry Bosch Mysteries,['Michael Connelly'],"['Bosch, Harry (Fictitious character)']",4.5,NOT_MATURE,2008,759
iOUQzQEACAAJ,The Harry Bosch Novels,['Michael Connelly'],['Fiction'],4.5,NOT_MATURE,2001-10-22,800
XyQOzxb7seQC,Harry Potter and Philosophy,"['David Baggett', 'Shawn E. Klein']",['Philosophy'],3.5,NOT_MATURE,2004-10-01,250
